"cell","gene","garp_score","p_value"
"MDA-MB-453","ARID1B","0.02496549","0.92"
"MDA-MB-468","ARID1B","-0.2005959","0.251"
"SK-BR-3","ARID1B","-0.1192125","0.823"
"SW527","ARID1B","-0.1127225","0.539"
"T-47D","ARID1B","-0.5578763","0.054"
"ZR-75-1","ARID1B","-0.2508383","0.507"
"609050M","ARID1B","-0.2294249","0.371"
"A2780","ARID1B","-0.06290853","0.486"
"A2780_CIS","ARID1B","-0.1998134","0.209"
"MM_OVCAR432_Bast_1","ARID1B","-0.5466435","0.551"
"OV-1946","ARID1B","-0.2093881","0.853"
"OV-90","ARID1B","-0.2163354","0.337"
"OVCA1369_TR","ARID1B","-2.110955","0.153"
"OVCA433_Bast","ARID1B","-0.8535394","0.271"
"OVCA5","ARID1B","-0.2625653","0.288"
"OVCA8","ARID1B","-0.07164151","0.856"
"OVCAR-3","ARID1B","-0.7025588","0.29"
"SK-OV-3","ARID1B","-0.01260426","0.821"
"TOV-1946","ARID1B","-0.3255157","0.545"
"TOV-2223G","ARID1B","-0.006112826","0.843"
"TOV-3133G","ARID1B","0.01393508","0.967"
"AsPC-1","ARID1B","-0.2022937","0.297"
"BxPC-3","ARID1B","-0.268838","0.484"
"CFPAC-1","ARID1B","0.008597488","0.982"
"Capan-2","ARID1B","-0.02831833","0.763"
"HPAC","ARID1B","-0.1321934","0.23"
"HPAF-II","ARID1B","-0.0372249","0.932"
"HPDE","ARID1B","-2.754487","0.287"
"Hs 766T","ARID1B","-0.8158919","0.333"
"IMIM-PC-1","ARID1B","-0.1448493","0.335"
"IMIM-PC-2","ARID1B","-0.04348575","0.728"
"KP-3","ARID1B","-0.2783968","0.217"
"KP-4","ARID1B","-0.07462314","0.536"
"MIA PaCa-2","ARID1B","-0.05075381","0.668"
"PANC-1","ARID1B","-0.1241544","0.461"
"PL45","ARID1B","-0.1991445","0.456"
"PaTu_8988S","ARID1B","-0.07341868","0.504"
"PaTu_8988T","ARID1B","-0.08603217","0.578"
"Panc 02.03","ARID1B","-0.3431645","0.245"
"Panc 03.27","ARID1B","-0.1787116","0.243"
"Panc 04.03","ARID1B","-0.1609551","0.549"
"Panc 05.04","ARID1B","-0.3949113","0.261"
"Panc 08.13","ARID1B","-0.1483331","0.348"
"Panc 10.05","ARID1B","-0.1725651","0.38"
"RWP-1","ARID1B","-0.1997482","0.314"
"SK-PC-1","ARID1B","-0.09753575","0.67"
"SK-PC-3","ARID1B","-0.4263896","0.423"
"SU.86.86","ARID1B","-0.2002411","0.161"
"SW1990","ARID1B","-0.1093407","0.743"
"BT-20","ASH1L","-0.1232112","0.702"
"BT-474","ASH1L","-0.08330348","0.788"
"BT-549","ASH1L","-0.1331454","0.814"
"CAL-51","ASH1L","-0.1255096","0.566"
"CAMA-1","ASH1L","-0.3128144","0.449"
"EFM-19","ASH1L","-0.001196198","0.928"
"HCC1143","ASH1L","-0.006975869","0.965"
"HCC1187","ASH1L","-0.2520542","0.527"
"HCC1395","ASH1L","-0.2292468","0.581"
"HCC1419","ASH1L","-0.1062459","0.716"
"HCC1428","ASH1L","-0.1485637","0.828"
"HCC1500","ASH1L","-0.09021605","0.767"
"HCC1806","ASH1L","-0.1212426","0.899"
"HCC1937","ASH1L","0.01823051","0.935"
"HCC1954","ASH1L","-0.05727947","0.834"
"HCC38","ASH1L","-0.1205356","0.785"
"Hs 578T","ASH1L","0.006800978","0.914"
"KPL-1","ASH1L","-0.0786983","0.588"
"MCF7","ASH1L","-0.02367882","0.729"
"MDA-MB-157","ASH1L","-0.07085859","0.786"
"MDA-MB-231","ASH1L","-0.08076236","0.736"
"MDA-MB-361","ASH1L","-0.2133242","0.473"
"MDA-MB-436","ASH1L","-0.1230725","0.866"
"MDA-MB-453","ASH1L","-0.1110893","0.171"
"MDA-MB-468","ASH1L","-0.01857253","0.885"
"SK-BR-3","ASH1L","-0.2458338","0.579"
"SW527","ASH1L","0.01920632","0.987"
"T-47D","ASH1L","-0.09806465","0.845"
"ZR-75-1","ASH1L","-0.309716","0.395"
"609050M","ASH1L","-0.1329553","0.648"
"A2780","ASH1L","6.096606e-05","0.756"
"A2780_CIS","ASH1L","-0.1529268","0.316"
"MM_OVCAR432_Bast_1","ASH1L","-0.4478956","0.662"
"OV-1946","ASH1L","-0.4259758","0.515"
"OV-90","ASH1L","0.02118391","0.987"
"OVCA1369_TR","ASH1L","-0.50675","0.735"
"OVCA433_Bast","ASH1L","-0.2819695","0.856"
"OVCA5","ASH1L","-0.106306","0.696"
"OVCA8","ASH1L","-0.009283025","0.98"
"OVCAR-3","ASH1L","-0.4040717","0.519"
"SK-OV-3","ASH1L","-0.1144046","0.328"
"TOV-1946","ASH1L","-0.1288408","0.867"
"TOV-2223G","ASH1L","-0.1133039","0.589"
"TOV-3133G","ASH1L","-0.09471504","0.563"
"AsPC-1","ASH1L","-0.03703903","0.875"
"BxPC-3","ASH1L","-0.1648277","0.692"
"CFPAC-1","ASH1L","-0.06840611","0.551"
"Capan-2","ASH1L","0.0217742","0.974"
"HPAC","ASH1L","0.006055313","0.979"
"HPAF-II","ASH1L","-0.03863222","0.929"
"HPDE","ASH1L","0.3483881","0.991"
"Hs 766T","ASH1L","-0.4564669","0.789"
"IMIM-PC-1","ASH1L","-0.1525545","0.312"
"IMIM-PC-2","ASH1L","-0.04869712","0.693"
"KP-3","ASH1L","-0.075339","0.806"
"KP-4","ASH1L","-0.009208384","0.95"
"MIA PaCa-2","ASH1L","-0.01033045","0.937"
"PANC-1","ASH1L","-0.08659615","0.643"
"PL45","ASH1L","-0.06230242","0.897"
"PaTu_8988S","ASH1L","0.006828118","0.968"
"PaTu_8988T","ASH1L","-0.09444954","0.522"
"Panc 02.03","ASH1L","-0.181275","0.69"
"Panc 03.27","ASH1L","-0.07231268","0.656"
"Panc 04.03","ASH1L","-0.05453796","0.893"
"Panc 05.04","ASH1L","-0.1478645","0.829"
"Panc 08.13","ASH1L","0.01060357","0.988"
"Panc 10.05","ASH1L","-0.009359469","0.915"
"RWP-1","ASH1L","0.008997359","0.924"
"SK-PC-1","ASH1L","-0.05831801","0.87"
"SK-PC-3","ASH1L","-0.06612168","0.994"
"SU.86.86","ASH1L","0.04204442","0.981"
"SW1990","ASH1L","-0.08592315","0.827"
"BT-20","CARM1","-0.6255986","0.043"
"BT-474","CARM1","-0.1370773","0.63"
"BT-549","CARM1","-0.6010028","0.102"
"CAL-51","CARM1","-0.4782484","0.027"
"CAMA-1","CARM1","-0.2957683","0.475"
"EFM-19","CARM1","-0.2776619","0.15"
"HCC1143","CARM1","-0.6280345","0.189"
"HCC1187","CARM1","-0.7632522","0.029"
"HCC1395","CARM1","-0.6560455","0.062"
"HCC1419","CARM1","-0.3961106","0.111"
"HCC1428","CARM1","-0.1633549","0.811"
"HCC1500","CARM1","-0.2556777","0.325"
"HCC1806","CARM1","-0.7592548","0.152"
"HCC1937","CARM1","-0.136444","0.484"
"HCC1954","CARM1","-0.2228973","0.308"
"HCC38","CARM1","-0.5060422","0.133"
"Hs 578T","CARM1","-0.2399601","0.101"
"KPL-1","CARM1","-0.1210062","0.312"
"MCF7","CARM1","-0.0626426","0.456"
"MDA-MB-157","CARM1","-0.6798635","0.01"
"MDA-MB-231","CARM1","-0.4404773","0.12"
"MDA-MB-361","CARM1","-0.3932408","0.154"
"MDA-MB-436","CARM1","-0.4108353","0.23"
"MDA-MB-453","CARM1","-0.2259779","0.049"
"MDA-MB-468","CARM1","-0.2077411","0.244"
"SK-BR-3","CARM1","-0.5124018","0.21"
"SW527","CARM1","-0.4090606","0.038"
"T-47D","CARM1","-0.399638","0.181"
"ZR-75-1","CARM1","-0.3082275","0.399"
"609050M","CARM1","-0.2407923","0.344"
