"cell","gene","garp_score","p_value"
"PANC-1","SETDB2","-0.04705183","0.868"
"PL45","SETDB2","-0.06287573","0.893"
"PaTu_8988S","SETDB2","0.001654274","0.946"
"PaTu_8988T","SETDB2","-0.03753039","0.914"
"Panc 02.03","SETDB2","-0.1272969","0.868"
"Panc 03.27","SETDB2","0.007317812","0.984"
"Panc 04.03","SETDB2","-0.02563287","0.957"
"Panc 05.04","SETDB2","-0.1868454","0.741"
"Panc 08.13","SETDB2","-0.03967262","0.836"
"Panc 10.05","SETDB2","0.02813038","0.976"
"RWP-1","SETDB2","0.02058689","0.944"
"SK-PC-1","SETDB2","-0.04186881","0.93"
"SK-PC-3","SETDB2","-0.04106401","0.998"
"SU.86.86","SETDB2","0.00244736","0.861"
"SW1990","SETDB2","-0.04533653","0.935"
"BT-20","SIRT1","-0.03096584","0.906"
"BT-474","SIRT1","-0.05582222","0.869"
"BT-549","SIRT1","-0.1986893","0.655"
"CAL-51","SIRT1","-0.1578473","0.418"
"CAMA-1","SIRT1","-0.05921563","0.982"
"EFM-19","SIRT1","0.03195871","0.979"
"HCC1143","SIRT1","-0.1582992","0.792"
"HCC1187","SIRT1","-0.03025227","0.985"
"HCC1395","SIRT1","-0.08285941","0.898"
"HCC1419","SIRT1","-0.154977","0.553"
"HCC1428","SIRT1","0.01720368","0.977"
"HCC1500","SIRT1","-0.1185992","0.683"
"HCC1806","SIRT1","-0.2593392","0.733"
"HCC1937","SIRT1","-0.009495546","0.859"
"HCC1954","SIRT1","-0.06430017","0.813"
"HCC38","SIRT1","0.03511465","0.996"
"Hs 578T","SIRT1","-0.0538146","0.613"
"KPL-1","SIRT1","-0.03680715","0.903"
"MCF7","SIRT1","0.03826713","0.99"
"MDA-MB-157","SIRT1","-0.08249102","0.748"
"MDA-MB-231","SIRT1","-0.08184788","0.732"
"MDA-MB-361","SIRT1","-0.01302255","0.952"
"MDA-MB-436","SIRT1","-0.1238325","0.865"
"MDA-MB-453","SIRT1","0.011577","0.813"
"MDA-MB-468","SIRT1","-0.01101234","0.916"
"SK-BR-3","SIRT1","-0.3274058","0.446"
"SW527","SIRT1","-0.01548251","0.921"
"T-47D","SIRT1","-0.0004078364","0.984"
"ZR-75-1","SIRT1","-0.08309571","0.908"
"609050M","SIRT1","-0.06585661","0.88"
"A2780","SIRT1","0.0434695","0.917"
"A2780_CIS","SIRT1","-0.2081691","0.197"
"MM_OVCAR432_Bast_1","SIRT1","-0.9738721","0.18"
"OV-1946","SIRT1","-0.579415","0.322"
"OV-90","SIRT1","-0.1108123","0.629"
"OVCA1369_TR","SIRT1","-0.3860424","0.818"
"OVCA433_Bast","SIRT1","-0.338113","0.804"
"OVCA5","SIRT1","-0.1562572","0.511"
"OVCA8","SIRT1","-0.3044901","0.347"
"OVCAR-3","SIRT1","-0.1606482","0.81"
"SK-OV-3","SIRT1","-0.01907294","0.788"
"TOV-1946","SIRT1","-0.4893304","0.294"
"TOV-2223G","SIRT1","0.07713025","0.984"
"TOV-3133G","SIRT1","-0.01540065","0.875"
"AsPC-1","SIRT1","-0.07876501","0.727"
"BxPC-3","SIRT1","-0.06365363","0.927"
"CFPAC-1","SIRT1","-0.01116151","0.927"
"Capan-2","SIRT1","-0.0346411","0.733"
"HPAC","SIRT1","-0.0347605","0.768"
"HPAF-II","SIRT1","-0.03669247","0.933"
"HPDE","SIRT1","-0.6856059","0.829"
"Hs 766T","SIRT1","-0.492116","0.746"
"IMIM-PC-1","SIRT1","-0.05853922","0.873"
"IMIM-PC-2","SIRT1","-0.034978","0.783"
"KP-3","SIRT1","-0.008842978","0.973"
"KP-4","SIRT1","-0.02155338","0.902"
"MIA PaCa-2","SIRT1","-0.06006107","0.618"
"PANC-1","SIRT1","-0.1009555","0.562"
"PL45","SIRT1","-0.05734524","0.909"
"PaTu_8988S","SIRT1","0.003370984","0.955"
"PaTu_8988T","SIRT1","-0.05315449","0.813"
"Panc 02.03","SIRT1","-0.25013","0.451"
"Panc 03.27","SIRT1","-0.04134799","0.803"
"Panc 04.03","SIRT1","-0.03465683","0.94"
"Panc 05.04","SIRT1","-0.2833157","0.514"
"Panc 08.13","SIRT1","-0.04261381","0.826"
"Panc 10.05","SIRT1","-0.1043152","0.588"
"RWP-1","SIRT1","-0.02791432","0.808"
"SK-PC-1","SIRT1","-0.08348307","0.734"
"SK-PC-3","SIRT1","-0.2044691","0.847"
"SU.86.86","SIRT1","-0.05020937","0.625"
"SW1990","SIRT1","-0.0125116","0.983"
"BT-20","SIRT2","-0.2486793","0.416"
"BT-474","SIRT2","-0.1284887","0.654"
"BT-549","SIRT2","-0.3640425","0.346"
"CAL-51","SIRT2","-0.07323819","0.857"
"CAMA-1","SIRT2","-0.4205222","0.268"
"EFM-19","SIRT2","-0.2504123","0.193"
"HCC1143","SIRT2","-0.6861409","0.154"
"HCC1187","SIRT2","-0.4033463","0.244"
"HCC1395","SIRT2","-0.1734425","0.704"
"HCC1419","SIRT2","-0.2416501","0.319"
"HCC1428","SIRT2","-1.293499","0.031"
"HCC1500","SIRT2","-0.3416392","0.2"
"HCC1806","SIRT2","-0.6190078","0.254"
"HCC1937","SIRT2","-0.1227903","0.517"
"HCC1954","SIRT2","-0.3931381","0.096"
"HCC38","SIRT2","-0.266838","0.444"
"Hs 578T","SIRT2","-0.5876621","0.002"
"KPL-1","SIRT2","-0.3676303","0.014"
"MCF7","SIRT2","-0.1013346","0.243"
"MDA-MB-157","SIRT2","-0.2481261","0.279"
"MDA-MB-231","SIRT2","-0.3286682","0.245"
"MDA-MB-361","SIRT2","-0.3742713","0.178"
"MDA-MB-436","SIRT2","-0.6576656","0.071"
"MDA-MB-453","SIRT2","-0.3343824","0.014"
"MDA-MB-468","SIRT2","-0.2863782","0.151"
"SK-BR-3","SIRT2","-0.2128435","0.643"
"SW527","SIRT2","-0.03999222","0.855"
"T-47D","SIRT2","-0.3325092","0.282"
"ZR-75-1","SIRT2","-0.2541433","0.496"
"609050M","SIRT2","-0.4728183","0.068"
"A2780","SIRT2","-0.1561281","0.216"
"A2780_CIS","SIRT2","-0.4024062","0.038"
"MM_OVCAR432_Bast_1","SIRT2","-0.4467383","0.663"
"OV-1946","SIRT2","-0.4905221","0.44"
"OV-90","SIRT2","-0.8141645","0.007"
"OVCA1369_TR","SIRT2","-2.04526","0.165"
"OVCA433_Bast","SIRT2","-1.140362","0.104"
"OVCA5","SIRT2","-0.4508139","0.105"
"OVCA8","SIRT2","-0.3312089","0.299"
"OVCAR-3","SIRT2","-0.7092902","0.28"
"SK-OV-3","SIRT2","-0.2423401","0.093"
"TOV-1946","SIRT2","-0.24628","0.688"
"TOV-2223G","SIRT2","-0.3336941","0.232"
"TOV-3133G","SIRT2","-0.802595","0.013"
"AsPC-1","SIRT2","-0.1836353","0.363"
"BxPC-3","SIRT2","-0.5102237","0.127"
"CFPAC-1","SIRT2","-0.1057872","0.334"
"Capan-2","SIRT2","-0.2045521","0.137"
"HPAC","SIRT2","-0.06178947","0.575"
"HPAF-II","SIRT2","-0.2920861","0.177"
"HPDE","SIRT2","-6.353194","0.02"
"Hs 766T","SIRT2","-0.6462883","0.554"
"IMIM-PC-1","SIRT2","-0.3605662","0.029"
"IMIM-PC-2","SIRT2","-0.2141046","0.082"
"KP-3","SIRT2","-0.5140162","0.029"
"KP-4","SIRT2","-0.1120239","0.35"
"MIA PaCa-2","SIRT2","-0.2729963","0.032"
"PANC-1","SIRT2","-0.2271042","0.131"
"PL45","SIRT2","-0.1980323","0.459"
"PaTu_8988S","SIRT2","-0.1526232","0.207"
"PaTu_8988T","SIRT2","-0.2206801","0.111"
"Panc 02.03","SIRT2","-0.8187208","0.004"
"Panc 03.27","SIRT2","-0.1202414","0.455"
"Panc 04.03","SIRT2","-0.4709559","0.03"
"Panc 05.04","SIRT2","-0.3446427","0.356"
"Panc 08.13","SIRT2","-0.5340993","0.016"
"Panc 10.05","SIRT2","-0.2410596","0.221"
"RWP-1","SIRT2","-0.4357454","0.071"
"SK-PC-1","SIRT2","-0.1312221","0.55"
"SK-PC-3","SIRT2","-0.7207981","0.085"
"SU.86.86","SIRT2","-0.1884124","0.18"
"SW1990","SIRT2","-0.3008121","0.148"
"BT-20","SIRT3","-0.3423889","0.258"
"BT-474","SIRT3","-0.2751782","0.306"
"BT-549","SIRT3","-0.1998222","0.653"
"CAL-51","SIRT3","-0.1065839","0.672"
"CAMA-1","SIRT3","-0.276512","0.504"
"EFM-19","SIRT3","-0.1541037","0.425"
"HCC1143","SIRT3","-0.4118007","0.418"
"HCC1187","SIRT3","-0.3764536","0.287"
"HCC1395","SIRT3","-0.061218","0.934"
"HCC1419","SIRT3","-0.2863131","0.243"
"HCC1428","SIRT3","-0.3536204","0.565"
"HCC1500","SIRT3","-0.2667058","0.3"
"HCC1806","SIRT3","-0.3563592","0.613"
"HCC1937","SIRT3","-0.113359","0.54"
"HCC1954","SIRT3","-0.08593372","0.738"
"HCC38","SIRT3","-0.2574413","0.465"
"Hs 578T","SIRT3","0.02841532","0.971"
"KPL-1","SIRT3","-0.1473484","0.216"
"MCF7","SIRT3","-0.09862705","0.264"
"MDA-MB-157","SIRT3","-0.3876829","0.099"
"MDA-MB-231","SIRT3","-0.1193522","0.624"
"MDA-MB-361","SIRT3","-0.4464944","0.11"
"MDA-MB-436","SIRT3","-0.4615006","0.184"
"MDA-MB-453","SIRT3","-0.02265138","0.5"
"MDA-MB-468","SIRT3","-0.3489339","0.097"
"SK-BR-3","SIRT3","-0.2040156","0.662"
"SW527","SIRT3","-0.1142753","0.532"
"T-47D","SIRT3","-0.1542527","0.684"
"ZR-75-1","SIRT3","-0.1054695","0.871"
"609050M","SIRT3","-0.1266316","0.676"
"A2780","SIRT3","-0.1100304","0.326"
"A2780_CIS","SIRT3","-0.07471812","0.577"
"MM_OVCAR432_Bast_1","SIRT3","-0.4081165","0.696"
"OV-1946","SIRT3","-0.137674","0.931"
"OV-90","SIRT3","-0.3935046","0.11"
"OVCA1369_TR","SIRT3","-2.638041","0.098"
"OVCA433_Bast","SIRT3","-0.1953253","0.923"
"OVCA5","SIRT3","-0.1044055","0.704"
"OVCA8","SIRT3","-0.06050916","0.885"
"OVCAR-3","SIRT3","-0.5325221","0.405"
"SK-OV-3","SIRT3","-0.3341207","0.027"
"TOV-1946","SIRT3","-0.2201599","0.74"
"TOV-2223G","SIRT3","-0.01297668","0.827"
"TOV-3133G","SIRT3","-0.08379179","0.599"
"AsPC-1","SIRT3","-0.1072039","0.609"
"BxPC-3","SIRT3","-0.1878411","0.63"
"CFPAC-1","SIRT3","-0.06178052","0.584"
"Capan-2","SIRT3","-0.06335182","0.553"
"HPAC","SIRT3","-0.07247102","0.511"
"HPAF-II","SIRT3","-0.0828691","0.777"
"HPDE","SIRT3","-4.688944","0.075"
"Hs 766T","SIRT3","-0.5518938","0.679"
"IMIM-PC-1","SIRT3","-0.03170392","0.982"
"IMIM-PC-2","SIRT3","-0.1209791","0.275"
"KP-3","SIRT3","0.02493718","0.996"
"KP-4","SIRT3","-0.05050356","0.714"
"MIA PaCa-2","SIRT3","-0.1124263","0.314"
"PANC-1","SIRT3","-0.04017557","0.899"
"PL45","SIRT3","-0.07035236","0.876"
"PaTu_8988S","SIRT3","-0.04438251","0.68"
"PaTu_8988T","SIRT3","-0.06384027","0.726"
"Panc 02.03","SIRT3","-0.2301192","0.502"
"Panc 03.27","SIRT3","-0.1711326","0.265"
"Panc 04.03","SIRT3","-0.2126959","0.394"
"Panc 05.04","SIRT3","-0.1783026","0.757"
"Panc 08.13","SIRT3","-0.3354664","0.062"
"Panc 10.05","SIRT3","-0.3024204","0.129"
"RWP-1","SIRT3","-0.1137143","0.534"
"SK-PC-1","SIRT3","-0.07209656","0.792"
"SK-PC-3","SIRT3","-0.3582764","0.532"
"SU.86.86","SIRT3","0.01775672","0.925"
"SW1990","SIRT3","-0.1473947","0.581"
"BT-20","SIRT4","-0.08193349","0.806"
"BT-474","SIRT4","-0.1651449","0.544"
"BT-549","SIRT4","-0.181752","0.699"
"CAL-51","SIRT4","-0.1099392","0.651"
"CAMA-1","SIRT4","-0.1444911","0.824"
"EFM-19","SIRT4","-0.1313537","0.515"
"HCC1143","SIRT4","-0.02266982","0.952"
"HCC1187","SIRT4","-0.2484264","0.539"
"HCC1395","SIRT4","-0.07823315","0.906"
"HCC1419","SIRT4","-0.0447886","0.925"
"HCC1428","SIRT4","-0.009531949","0.967"
"HCC1500","SIRT4","-0.1140569","0.701"
"HCC1806","SIRT4","-0.1826937","0.836"
"HCC1937","SIRT4","-0.3397027","0.143"
"HCC1954","SIRT4","-0.04714417","0.868"
"HCC38","SIRT4","-0.09894284","0.828"
"Hs 578T","SIRT4","0.08175629","1"
"KPL-1","SIRT4","0.001404161","0.993"
"MCF7","SIRT4","-0.01954269","0.764"
"MDA-MB-157","SIRT4","-0.001981646","0.971"
"MDA-MB-231","SIRT4","-0.135268","0.596"
"MDA-MB-361","SIRT4","-0.006518306","0.96"
"MDA-MB-436","SIRT4","-0.2118647","0.621"
"MDA-MB-453","SIRT4","0.01992077","0.885"
"MDA-MB-468","SIRT4","-0.1443073","0.38"
"SK-BR-3","SIRT4","-0.1747451","0.722"
"SW527","SIRT4","-0.05489675","0.782"
"T-47D","SIRT4","-0.08360919","0.867"
"ZR-75-1","SIRT4","-0.08376707","0.908"
"609050M","SIRT4","0.003984693","0.996"
"A2780","SIRT4","-0.05044715","0.538"
"A2780_CIS","SIRT4","-0.05443615","0.661"
"MM_OVCAR432_Bast_1","SIRT4","-0.5620102","0.53"
"OV-1946","SIRT4","-0.1465016","0.927"
"OV-90","SIRT4","0.03322964","0.994"
"OVCA1369_TR","SIRT4","-1.626233","0.265"
"OVCA433_Bast","SIRT4","0.01814859","0.998"
"OVCA5","SIRT4","-0.09468791","0.733"
"OVCA8","SIRT4","-0.1510524","0.667"
"OVCAR-3","SIRT4","-0.2470121","0.691"
"SK-OV-3","SIRT4","-0.1472958","0.226"
"TOV-1946","SIRT4","-0.1245401","0.871"
"TOV-2223G","SIRT4","-0.06965076","0.688"
"TOV-3133G","SIRT4","-0.1425643","0.399"
"AsPC-1","SIRT4","-0.02376994","0.916"
"BxPC-3","SIRT4","-0.07285129","0.91"
"CFPAC-1","SIRT4","-0.1313584","0.23"
"Capan-2","SIRT4","0.003537389","0.927"
"HPAC","SIRT4","-0.01985823","0.865"
"HPAF-II","SIRT4","-0.06063802","0.863"
"HPDE","SIRT4","1.397496","1"
"Hs 766T","SIRT4","-0.3691744","0.888"
"IMIM-PC-1","SIRT4","-0.06136224","0.853"
"IMIM-PC-2","SIRT4","0.0004388347","0.962"
"KP-3","SIRT4","0.06128086","1"
"KP-4","SIRT4","-0.006495489","0.96"
"MIA PaCa-2","SIRT4","0.006155007","0.987"
"PANC-1","SIRT4","-0.031743","0.938"
"PL45","SIRT4","-0.05064171","0.927"
"PaTu_8988S","SIRT4","0.02124283","0.997"
"PaTu_8988T","SIRT4","-0.02168242","0.977"
"Panc 02.03","SIRT4","-0.04987627","0.996"
"Panc 03.27","SIRT4","-0.02383723","0.895"
"Panc 04.03","SIRT4","-0.06830162","0.859"
"Panc 05.04","SIRT4","-0.1336019","0.866"
"Panc 08.13","SIRT4","-0.0542021","0.774"
"Panc 10.05","SIRT4","0.002093515","0.934"
"RWP-1","SIRT4","0.1436022","1"
"SK-PC-1","SIRT4","-0.07119294","0.797"
"SK-PC-3","SIRT4","-0.01436386","1"
"SU.86.86","SIRT4","0.007299398","0.877"
"SW1990","SIRT4","-0.1808521","0.465"
"BT-20","SIRT5","-0.4136508","0.167"
"BT-474","SIRT5","-0.1834339","0.498"
"BT-549","SIRT5","-0.06062861","0.941"
"CAL-51","SIRT5","-0.1622482","0.393"
"CAMA-1","SIRT5","-0.1732117","0.764"
"EFM-19","SIRT5","-0.1857152","0.328"
"HCC1143","SIRT5","-0.3814668","0.449"
"HCC1187","SIRT5","-0.2174193","0.615"
"HCC1395","SIRT5","-0.3014069","0.441"
"HCC1419","SIRT5","-0.2278049","0.354"
"HCC1428","SIRT5","-0.8313022","0.181"
"HCC1500","SIRT5","-0.2508956","0.335"
"HCC1806","SIRT5","-0.3340625","0.64"
"HCC1937","SIRT5","-0.1601368","0.427"
"HCC1954","SIRT5","-0.1430447","0.515"
"HCC38","SIRT5","-0.1621856","0.678"
"Hs 578T","SIRT5","0.004090553","0.903"
"KPL-1","SIRT5","-0.09486976","0.45"
"MCF7","SIRT5","-0.04450131","0.579"
"MDA-MB-157","SIRT5","-0.1950509","0.4"
"MDA-MB-231","SIRT5","-0.2313178","0.404"
"MDA-MB-361","SIRT5","-0.1417354","0.639"
"MDA-MB-436","SIRT5","-0.1705097","0.737"
"MDA-MB-453","SIRT5","-0.005257062","0.633"
"MDA-MB-468","SIRT5","-0.02599277","0.852"
"SK-BR-3","SIRT5","-0.2876647","0.507"
"SW527","SIRT5","-0.1018364","0.576"
"T-47D","SIRT5","-0.2086877","0.55"
"ZR-75-1","SIRT5","-0.2390587","0.53"
"609050M","SIRT5","-0.1896286","0.468"
"A2780","SIRT5","0.05166276","0.941"
"A2780_CIS","SIRT5","-0.07326168","0.582"
"MM_OVCAR432_Bast_1","SIRT5","-0.6147574","0.474"
"OV-1946","SIRT5","-0.3091088","0.7"
"OV-90","SIRT5","-0.1107416","0.629"
"OVCA1369_TR","SIRT5","-0.9722181","0.491"
"OVCA433_Bast","SIRT5","-1.039021","0.149"
"OVCA5","SIRT5","-0.11949","0.649"
"OVCA8","SIRT5","-0.192029","0.568"
"OVCAR-3","SIRT5","-0.6051255","0.352"
"SK-OV-3","SIRT5","-0.06591731","0.54"
"TOV-1946","SIRT5","-0.2460118","0.69"
"TOV-2223G","SIRT5","-0.2439108","0.338"
"TOV-3133G","SIRT5","0.002216114","0.941"
"AsPC-1","SIRT5","-0.06510076","0.78"
"BxPC-3","SIRT5","-0.1638363","0.695"
"CFPAC-1","SIRT5","-0.08017047","0.475"
"Capan-2","SIRT5","-0.08891182","0.426"
"HPAC","SIRT5","-0.05407301","0.635"
"HPAF-II","SIRT5","-0.08700749","0.761"
"HPDE","SIRT5","-0.8259092","0.806"
"Hs 766T","SIRT5","-0.5309669","0.705"
"IMIM-PC-1","SIRT5","-0.1343867","0.396"
"IMIM-PC-2","SIRT5","0.001115693","0.964"
"KP-3","SIRT5","-0.1666859","0.498"
"KP-4","SIRT5","-0.0232625","0.897"
"MIA PaCa-2","SIRT5","-0.01809127","0.895"
"PANC-1","SIRT5","-0.06314679","0.788"
"PL45","SIRT5","-0.1640201","0.568"
"PaTu_8988S","SIRT5","-0.08484245","0.448"
"PaTu_8988T","SIRT5","-0.04827483","0.855"
"Panc 02.03","SIRT5","-0.2447197","0.47"
"Panc 03.27","SIRT5","-0.1403563","0.361"
"Panc 04.03","SIRT5","-0.16287","0.545"
"Panc 05.04","SIRT5","-0.1408523","0.849"
"Panc 08.13","SIRT5","-0.1715915","0.275"
"Panc 10.05","SIRT5","-0.1962716","0.307"
"RWP-1","SIRT5","-0.02716753","0.808"
"SK-PC-1","SIRT5","-0.1854128","0.337"
"SK-PC-3","SIRT5","-0.2195216","0.817"
"SU.86.86","SIRT5","0.002297249","0.859"
"SW1990","SIRT5","-0.1551115","0.556"
"BT-20","SIRT6","-0.1863806","0.545"
"BT-474","SIRT6","-0.02973953","0.931"
"BT-549","SIRT6","-0.259687","0.529"
"CAL-51","SIRT6","-0.134772","0.525"
"CAMA-1","SIRT6","-0.3837193","0.316"
"EFM-19","SIRT6","-0.09000219","0.642"
"HCC1143","SIRT6","-0.09196471","0.877"
"HCC1187","SIRT6","-0.2187541","0.61"
"HCC1395","SIRT6","-0.1258929","0.81"
"HCC1419","SIRT6","-0.1051214","0.723"
"HCC1428","SIRT6","-0.5268237","0.399"
"HCC1500","SIRT6","-0.2084486","0.434"
"HCC1806","SIRT6","-0.3211986","0.656"
"HCC1937","SIRT6","-0.2300022","0.296"
"HCC1954","SIRT6","-0.07502031","0.773"
"HCC38","SIRT6","-0.1810377","0.642"
"Hs 578T","SIRT6","-0.1151234","0.314"
"KPL-1","SIRT6","-0.1323281","0.265"
"MCF7","SIRT6","-0.02885216","0.69"
"MDA-MB-157","SIRT6","-0.02125682","0.935"
"MDA-MB-231","SIRT6","-0.06245192","0.777"
"MDA-MB-361","SIRT6","-0.437554","0.114"
"MDA-MB-436","SIRT6","-0.3672828","0.293"
"MDA-MB-453","SIRT6","0.0008238389","0.705"
"MDA-MB-468","SIRT6","0.02601044","0.992"
"SK-BR-3","SIRT6","-0.1481778","0.765"
"SW527","SIRT6","-0.2674183","0.127"
"T-47D","SIRT6","-0.1865537","0.602"
"ZR-75-1","SIRT6","-0.1745454","0.689"
"609050M","SIRT6","-0.1710948","0.518"
"A2780","SIRT6","-0.1748272","0.191"
"A2780_CIS","SIRT6","-0.08946913","0.51"
"MM_OVCAR432_Bast_1","SIRT6","-0.5817574","0.517"
"OV-1946","SIRT6","-0.3202203","0.678"
"OV-90","SIRT6","-0.03805576","0.864"
"OVCA1369_TR","SIRT6","-0.4138727","0.798"
"OVCA433_Bast","SIRT6","-0.2779845","0.859"
"OVCA5","SIRT6","-0.1984647","0.404"
"OVCA8","SIRT6","-0.105473","0.774"
"OVCAR-3","SIRT6","-0.2289222","0.722"
"SK-OV-3","SIRT6","-0.04145374","0.671"
"TOV-1946","SIRT6","-0.4356973","0.375"
"TOV-2223G","SIRT6","-0.3410896","0.228"
"TOV-3133G","SIRT6","-0.1556358","0.368"
"AsPC-1","SIRT6","-0.07095296","0.76"
"BxPC-3","SIRT6","-0.3397856","0.341"
"CFPAC-1","SIRT6","-0.0976","0.378"
"Capan-2","SIRT6","-0.05689482","0.593"
"HPAC","SIRT6","-0.06148332","0.576"
"HPAF-II","SIRT6","-0.1126705","0.672"
"HPDE","SIRT6","-0.9816766","0.753"
"Hs 766T","SIRT6","-0.6545711","0.546"
"IMIM-PC-1","SIRT6","-0.09290557","0.642"
"IMIM-PC-2","SIRT6","0.007376492","0.978"
"KP-3","SIRT6","-0.009601715","0.972"
"KP-4","SIRT6","-0.04234169","0.76"
"MIA PaCa-2","SIRT6","-0.05060242","0.669"
"PANC-1","SIRT6","-0.1262925","0.455"
"PL45","SIRT6","-0.1314345","0.68"
"PaTu_8988S","SIRT6","-0.0509856","0.635"
"PaTu_8988T","SIRT6","-0.1181211","0.391"
"Panc 02.03","SIRT6","-0.06179039","0.984"
"Panc 03.27","SIRT6","-0.06727853","0.681"
"Panc 04.03","SIRT6","-0.03303304","0.943"
"Panc 05.04","SIRT6","-0.3746996","0.298"
"Panc 08.13","SIRT6","-0.02449857","0.9"
"Panc 10.05","SIRT6","-0.09990328","0.608"
"RWP-1","SIRT6","-0.2092697","0.295"
"SK-PC-1","SIRT6","-0.06486446","0.842"
"SK-PC-3","SIRT6","-0.3197766","0.616"
"SU.86.86","SIRT6","-0.0271043","0.729"
"SW1990","SIRT6","-0.1366939","0.611"
"BT-20","SIRT7","-0.02010689","0.931"
"BT-474","SIRT7","-0.08586405","0.776"
"BT-549","SIRT7","-0.04895109","0.961"
"CAL-51","SIRT7","-0.05837125","0.917"
"CAMA-1","SIRT7","-0.1321381","0.847"
"EFM-19","SIRT7","-0.09805599","0.611"
"HCC1143","SIRT7","-0.02006581","0.953"
"HCC1187","SIRT7","-0.112949","0.856"
"HCC1395","SIRT7","-0.057273","0.936"
"HCC1419","SIRT7","-0.08567915","0.783"
"HCC1428","SIRT7","-0.1095015","0.889"
"HCC1500","SIRT7","-0.09940886","0.74"
"HCC1806","SIRT7","-0.02845806","0.971"
"HCC1937","SIRT7","-0.01606864","0.846"
"HCC1954","SIRT7","-0.02494349","0.94"
"HCC38","SIRT7","-0.0638664","0.897"
"Hs 578T","SIRT7","0.045058","0.986"
"KPL-1","SIRT7","-0.004029112","0.99"
"MCF7","SIRT7","0.002792159","0.911"
"MDA-MB-157","SIRT7","-0.02670772","0.927"
"MDA-MB-231","SIRT7","-0.2600414","0.351"
"MDA-MB-361","SIRT7","-0.0197226","0.943"
"MDA-MB-436","SIRT7","-0.1170568","0.884"
"MDA-MB-453","SIRT7","0.01802561","0.871"
"MDA-MB-468","SIRT7","0.009481676","0.971"
"SK-BR-3","SIRT7","-0.06421728","0.922"
"SW527","SIRT7","-0.03106907","0.881"
"T-47D","SIRT7","-0.1116562","0.808"
"ZR-75-1","SIRT7","-0.1327985","0.802"
"609050M","SIRT7","-0.04524581","0.928"
"A2780","SIRT7","0.03221152","0.88"
"A2780_CIS","SIRT7","-0.02537569","0.795"
"MM_OVCAR432_Bast_1","SIRT7","-0.4443781","0.667"
"OV-1946","SIRT7","-0.1137296","0.952"
"OV-90","SIRT7","-0.007770268","0.956"
"OVCA1369_TR","SIRT7","-0.3571343","0.83"
"OVCA433_Bast","SIRT7","-0.1087191","0.972"
"OVCA5","SIRT7","-0.03323158","0.921"
"OVCA8","SIRT7","-0.03829011","0.94"
"OVCAR-3","SIRT7","-0.3027932","0.63"
"SK-OV-3","SIRT7","-0.1010718","0.376"
"TOV-1946","SIRT7","-0.04587704","0.959"
"TOV-2223G","SIRT7","-0.1097098","0.598"
"TOV-3133G","SIRT7","-0.02272514","0.855"
"AsPC-1","SIRT7","0.001801776","0.98"
"BxPC-3","SIRT7","-0.06373075","0.927"
"CFPAC-1","SIRT7","-0.04426096","0.717"
"Capan-2","SIRT7","-0.07223877","0.504"
"HPAC","SIRT7","-0.008037593","0.937"
"HPAF-II","SIRT7","-0.07965192","0.795"
"HPDE","SIRT7","0.3944174","0.991"
"Hs 766T","SIRT7","-0.3045692","0.947"
"IMIM-PC-1","SIRT7","-0.05472698","0.894"
"IMIM-PC-2","SIRT7","-0.04083429","0.745"
"KP-3","SIRT7","-0.01085009","0.971"
"KP-4","SIRT7","-0.02520635","0.88"
"MIA PaCa-2","SIRT7","0.01775791","0.999"
"PANC-1","SIRT7","-0.01506169","0.978"
"PL45","SIRT7","-0.06731781","0.883"
"PaTu_8988S","SIRT7","-0.03173779","0.773"
"PaTu_8988T","SIRT7","-0.01355826","0.992"
"Panc 02.03","SIRT7","-0.08290514","0.96"
"Panc 03.27","SIRT7","-0.02223312","0.9"
"Panc 04.03","SIRT7","-0.02926961","0.947"
"Panc 05.04","SIRT7","-0.07932308","0.958"
"Panc 08.13","SIRT7","0.01659992","0.99"
"Panc 10.05","SIRT7","-0.06006166","0.757"
"RWP-1","SIRT7","0.008362993","0.924"
"SK-PC-1","SIRT7","-0.08936321","0.706"
"SK-PC-3","SIRT7","-0.1590424","0.916"
"SU.86.86","SIRT7","-0.007475465","0.826"
"SW1990","SIRT7","-0.07023543","0.871"
"BT-20","SMARCA1","0.04192891","0.996"
"BT-474","SMARCA1","0.00819469","0.991"
"BT-549","SMARCA1","-0.04918582","0.961"
"CAL-51","SMARCA1","-0.07743844","0.835"
"CAMA-1","SMARCA1","-0.1326127","0.846"
"EFM-19","SMARCA1","0.04221889","0.988"
"HCC1143","SMARCA1","0.07596119","0.995"
"HCC1187","SMARCA1","-0.04882563","0.969"
"HCC1395","SMARCA1","-0.05060441","0.946"
"HCC1419","SMARCA1","-0.01415547","0.983"
"HCC1428","SMARCA1","-0.01475546","0.964"
"HCC1500","SMARCA1","0.01048563","0.984"
"HCC1806","SMARCA1","0.03497531","0.998"
"HCC1937","SMARCA1","0.04555188","0.975"
"HCC1954","SMARCA1","0.01326144","0.997"
"HCC38","SMARCA1","-0.04205172","0.938"
"Hs 578T","SMARCA1","-0.008846925","0.854"
"KPL-1","SMARCA1","-0.03015595","0.933"
"MCF7","SMARCA1","0.01172626","0.942"
"MDA-MB-157","SMARCA1","0.001545194","0.971"
"MDA-MB-231","SMARCA1","0.03919556","0.964"
