"gene","cell","tissue","exp","cnv"
"SETDB2","MUTZ5","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.6363","0.0487"
"SETDB2","MV411","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.6502","0.007708"
"SETDB2","NALM19","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.8689","-0.01223"
"SETDB2","NALM1","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.7413","0.0387"
"SETDB2","NALM6","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.0876","0.055"
"SETDB2","NB1","AUTONOMIC GANGLIA","5.7324","0.4825"
"SETDB2","NB4","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.853","0.2034"
"SETDB2","NCIH1048","LUNG","4.84","-1.015"
"SETDB2","NCIH1092","LUNG","5.3305","-0.2432"
"SETDB2","NCIH1105","LUNG","5.5914","-0.6448"
"SETDB2","NCIH1155","LUNG","5.4769","-0.0405"
"SETDB2","NCIH1184","LUNG","5.4277","0.3257"
"SETDB2","NCIH1299","LUNG","5.0961","-0.6261"
"SETDB2","NCIH1339","LUNG","5.5661","-0.0346"
"SETDB2","NCIH1341","LUNG","5.6912","0.358"
"SETDB2","NCIH1355","LUNG","5.4751","-1.153"
"SETDB2","NCIH1373","LUNG","4.938","-0.3991"
"SETDB2","NCIH1385","LUNG","4.6149","-0.3122"
"SETDB2","NCIH1395","LUNG","5.1786","-0.3067"
"SETDB2","NCIH1435","LUNG","6.8893","0.63"
"SETDB2","NCIH1436","LUNG","5.194","-0.9557"
"SETDB2","NCIH1437","LUNG","5.1211","-0.4492"
"SETDB2","NCIH146","LUNG","5.1028","0.0452"
"SETDB2","NCIH1563","LUNG","4.6833","-0.9002"
"SETDB2","NCIH1568","LUNG","5.133","0.2527"
"SETDB2","NCIH1573","LUNG","5.3137","-0.6111"
"SETDB2","NCIH1581","LUNG","5.1793","-0.707"
"SETDB2","NCIH1618","LUNG","5.2852","-0.3584"
"SETDB2","NCIH1623","LUNG","4.3294","-1.186"
"SETDB2","NCIH1648","LUNG","4.9341","-0.2238"
"SETDB2","NCIH1650","LUNG","4.5608","-0.8998"
"SETDB2","NCIH1651","LUNG","4.769","-0.3987"
"SETDB2","NCIH1666","LUNG","4.9872","-0.5392"
"SETDB2","NCIH1693","LUNG","5.5027","-0.3845"
"SETDB2","NCIH1694","LUNG","5.1078","-0.166"
"SETDB2","NCIH1703","LUNG","6.0868","-0.188"
"SETDB2","NCIH1734","LUNG","4.3201","-1.213"
"SETDB2","NCIH1755","LUNG","4.7876","0.0614"
"SETDB2","NCIH1781","LUNG","5.5236","-0.2743"
"SETDB2","NCIH1792","LUNG","4.3771","-0.9891"
"SETDB2","NCIH1793","LUNG","5.3675","-0.0862"
"SETDB2","NCIH1836","LUNG","5.9103","-0.5219"
"SETDB2","NCIH1838","LUNG","5.5861","0.1081"
"SETDB2","NCIH1869","LUNG","5.0373","-0.3171"
"SETDB2","NCIH1876","LUNG","6.1152","0.3075"
"SETDB2","NCIH1915","LUNG","6.4204","-0.07912"
"SETDB2","NCIH1930","LUNG","5.2386","0.4036"
"SETDB2","NCIH1944","LUNG","5.1177","-0.09302"
"SETDB2","NCIH1963","LUNG","4.8426","-0.9451"
"SETDB2","NCIH196","LUNG","5.5195","-0.1856"
"SETDB2","NCIH1975","LUNG","4.6631","-1.129"
"SETDB2","NCIH2009","LUNG","5.4702","0.4399"
"SETDB2","NCIH2023","LUNG","5.0812","-0.3242"
"SETDB2","NCIH2029","LUNG","4.8223","-0.6304"
"SETDB2","NCIH2030","LUNG","5.0261","-0.8087"
"SETDB2","NCIH2052","PLEURA","4.7185","-0.4946"
"SETDB2","NCIH2066","LUNG","5.5246","-0.06588"
"SETDB2","NCIH2081","LUNG","5.0894","-0.5091"
"SETDB2","NCIH2085","LUNG","5.1247","0.1343"
"SETDB2","NCIH2087","LUNG","5.4259","-0.3081"
"SETDB2","NCIH209","LUNG","5.3399","0.06582"
"SETDB2","NCIH2106","LUNG","5.1761","-0.7099"
"SETDB2","NCIH2110","LUNG","5.0959","-0.7785"
"SETDB2","NCIH211","LUNG","4.5427","-0.5987"
"SETDB2","NCIH2122","LUNG","5.1262","-0.2378"
"SETDB2","NCIH2126","LUNG","5.4536","0.2626"
"SETDB2","NCIH2141","LUNG","5.3392","0.4355"
"SETDB2","NCIH2170","LUNG","5.505","0.5182"
"SETDB2","NCIH2171","LUNG","4.8747","0.1126"
"SETDB2","NCIH2172","LUNG","4.987","-0.5402"
"SETDB2","NCIH2196","LUNG","4.8378","-0.6354"
"SETDB2","NCIH2227","LUNG","5.3226","-0.2711"
"SETDB2","NCIH2228","LUNG","4.9507","-0.2675"
"SETDB2","NCIH226","LUNG","4.8751","0.1212"
"SETDB2","NCIH2286","LUNG","5.3426","-0.6678"
"SETDB2","NCIH2291","LUNG","4.5798","-1.186"
"SETDB2","NCIH2342","LUNG","5.5057","0.3059"
"SETDB2","NCIH2347","LUNG","5.0543","-0.3308"
"SETDB2","NCIH23","LUNG","5.293","-0.1873"
"SETDB2","NCIH2405","LUNG","5.3628","0.0643"
"SETDB2","NCIH2444","LUNG","4.5273","0.007348"
"SETDB2","NCIH2452","PLEURA","4.9282","-0.5683"
"SETDB2","NCIH28","PLEURA","5.2643","0.1048"
"SETDB2","NCIH322","LUNG","5.4236","-0.1443"
"SETDB2","NCIH358","LUNG","4.9478","-0.1625"
"SETDB2","NCIH441","LUNG","5.074","-0.3205"
"SETDB2","NCIH446","LUNG","4.6969","-0.459"
"SETDB2","NCIH460","LUNG","5.3256","-0.2649"
"SETDB2","NCIH508","LARGE INTESTINE","7.3493","1.15"
"SETDB2","NCIH510","LUNG","5.1127","-0.3037"
"SETDB2","NCIH520","LUNG","5.2984","-0.2464"
"SETDB2","NCIH522","LUNG","5.0414","-1.22"
"SETDB2","NCIH524","LUNG","5.3647","-0.08433"
"SETDB2","NCIH526","LUNG","4.96","0.4323"
"SETDB2","NCIH596","LUNG","5.2953","-0.4733"
"SETDB2","NCIH647","LUNG","4.627","-0.7032"
"SETDB2","NCIH650","LUNG","5.5285","-0.489"
"SETDB2","NCIH660","PROSTATE","5.3478","-0.5304"
"SETDB2","NCIH661","LUNG","5.2351","0.0817"
"SETDB2","NCIH69","LUNG","4.7026","-0.5881"
"SETDB2","NCIH716","LARGE INTESTINE","5.5916","0.1229"
"SETDB2","NCIH727","LUNG","5.0176","-0.2555"
"SETDB2","NCIH747","LARGE INTESTINE","5.3141","0.08058"
"SETDB2","NCIH810","LUNG","4.4858","-0.2525"
"SETDB2","NCIH82","LUNG","4.2859","0.4942"
"SETDB2","NCIH838","LUNG","5.4785","-0.1441"
"SETDB2","NCIH841","LUNG","5.0046","-0.5655"
"SETDB2","NCIH854","LUNG","4.7398","-0.3046"
"SETDB2","NCIH889","LUNG","4.6373","-1.26"
"SETDB2","NCIH929","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.1604","-0.9983"
"SETDB2","NCIN87","STOMACH","5.7371","0.1769"
"SETDB2","NCO2","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.9872","-0.1012"
"SETDB2","NH6","AUTONOMIC GANGLIA","5.5769","0.01338"
"SETDB2","NMCG1","CENTRAL NERVOUS SYSTEM","5.0829","-0.1196"
"SETDB2","NOMO1","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.8947","-0.0073"
"SETDB2","NUDHL1","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.1565","-0.0371"
"SETDB2","NUDUL1","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.5096","0.1184"
"SETDB2","NUGC2","STOMACH","4.7425","0.1029"
"SETDB2","NUGC3","STOMACH","5.5171","0.2482"
"SETDB2","NUGC4","STOMACH","5.3404","-0.234"
"SETDB2","OAW28","OVARY","4.9863","-0.1509"
"SETDB2","OAW42","OVARY","5.425","-0.2206"
"SETDB2","OC314","OVARY","5.5669","0.4034"
"SETDB2","OC316","OVARY","5.8619","0.3983"
"SETDB2","OCIAML2","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.8336","-0.0801"
"SETDB2","OCIAML3","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.1059","-1.09"
"SETDB2","OCIAML5","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.4287","-0.0466"
"SETDB2","OCILY19","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.6534","0.0322"
"SETDB2","OCILY3","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.5904","0.4571"
"SETDB2","OCIM1","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.2011","0.01292"
"SETDB2","OCUM1","STOMACH","6.6209","0.6867"
"SETDB2","OE19","OESOPHAGUS","5.0235","0.6067"
"SETDB2","OE33","OESOPHAGUS","6.0933","0.1749"
"SETDB2","ONS76","CENTRAL NERVOUS SYSTEM","5.506","-0.1475"
"SETDB2","OPM2","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.6524","-0.1628"
"SETDB2","OUMS23","LARGE INTESTINE","7.1329","0.8741"
"SETDB2","OUMS27","BONE","5.2589","-0.0548"
"SETDB2","OV56","OVARY","5.7849","0.0938"
"SETDB2","OV7","OVARY","5.3483","0.1155"
"SETDB2","OV90","OVARY","4.673","0.1676"
"SETDB2","OVCAR4","OVARY","4.9089","-0.4655"
"SETDB2","OVCAR8","OVARY","5.0477","0.3045"
"SETDB2","OVK18","OVARY","5.7718","-0.0209"
"SETDB2","OVKATE","OVARY","5.3602","0.1071"
"SETDB2","OVMANA","OVARY","5.67","-0.3122"
"SETDB2","OVSAHO","OVARY","4.2771","-1.168"
"SETDB2","OVTOKO","OVARY","4.6103","-0.1255"
"SETDB2","P12ICHIKAWA","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.2751","0.1"
"SETDB2","P3HR1","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.5006","0.0653"
"SETDB2","PANC0203","PANCREAS","5.0622","-0.7331"
"SETDB2","PANC0213","PANCREAS","5.4271","0.179"
"SETDB2","PANC0327","PANCREAS","5.3594","0.3896"
"SETDB2","PANC0403","PANCREAS","5.4576","0.398"
"SETDB2","PANC0504","PANCREAS","5.2623","0.1525"
"SETDB2","PANC0813","PANCREAS","5.0451","-0.2122"
"SETDB2","PANC1005","PANCREAS","4.6263","-0.7094"
"SETDB2","PANC1","PANCREAS","5.4608","-0.3852"
"SETDB2","PATU8902","PANCREAS","5.5593","0.0174"
"SETDB2","PATU8988S","PANCREAS","6.3539","0.2483"
"SETDB2","PATU8988T","PANCREAS","5.5036","0.0516"
"SETDB2","PC14","LUNG","5.0003","0.0275"
"SETDB2","PC3","PROSTATE","4.9443","-0.0524"
"SETDB2","PCM6","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.4451","0.01564"
"SETDB2","PEER","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.7214","-0.9063"
"SETDB2","PF382","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.9274","0.07691"
"SETDB2","PFEIFFER","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.3276","0.1564"
"SETDB2","PK1","PANCREAS","5.1061","-0.2308"
"SETDB2","PK45H","PANCREAS","5.3772","0.4824"
"SETDB2","PK59","PANCREAS","5.798","0.6713"
"SETDB2","PL21","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.8857","0.6185"
"SETDB2","PL45","PANCREAS","5.0236","-0.7372"
"SETDB2","PSN1","PANCREAS","4.9993","-0.3901"
"SETDB2","QGP1","PANCREAS","5.7324","-0.3719"
"SETDB2","RAJI","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.4223","0.0284"
"SETDB2","RCC10RGB","KIDNEY","5.2797","0.2841"
"SETDB2","RCHACV","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.5573","-0.0266"
"SETDB2","RCM1","LARGE INTESTINE","7.3351","0.4308"
"SETDB2","RD","SOFT TISSUE","4.153","-1.016"
"SETDB2","RDES","BONE","4.6778","-0.0034"
"SETDB2","REC1","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.8967","-0.7722"
"SETDB2","REH","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.2738","0.0657"
"SETDB2","RERFGC1B","STOMACH","5.3354","-0.3011"
"SETDB2","RERFLCAD1","LUNG","5.5298","-0.36"
"SETDB2","RERFLCAD2","LUNG","5.5109","0.1829"
"SETDB2","RERFLCAI","LUNG","5.4084","-0.1512"
"SETDB2","RERFLCKJ","LUNG","5.0341","-0.3742"
"SETDB2","RERFLCMS","LUNG","5.0711","-0.1492"
"SETDB2","RERFLCSQ1","LUNG","4.9213","0.1167"
"SETDB2","RH41","SOFT TISSUE","5.5885","-0.0822"
"SETDB2","RI1","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.1497","-1.029"
"SETDB2","RKN","SOFT TISSUE","5.1126","-0.4983"
"SETDB2","RKO","LARGE INTESTINE","5.625","-0.0625"
"SETDB2","RL952","ENDOMETRIUM","5.5356","-0.008674"
"SETDB2","RL","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.918","-0.03047"
"SETDB2","RMGI","OVARY","5.1381","0.4614"
"SETDB2","RMUGS","OVARY","4.8103","0.2523"
"SETDB2","RPMI7951","SKIN","5.6569","-0.2326"
"SETDB2","RPMI8226","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.9986","-0.4052"
"SETDB2","RPMI8402","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.7197","-0.4852"
"SETDB2","RT112","URINARY TRACT","5.1523","0.0008327"
"SETDB2","RT4","URINARY TRACT","4.7582","-0.2981"
"SETDB2","RVH421","SKIN","6.2879","0.2926"
"SETDB2","S117","SOFT TISSUE","4.6414","-0.5764"
"SETDB2","SBC5","LUNG","5.7009","-0.4038"
"SETDB2","SCABER","URINARY TRACT","4.7564","-0.5858"
"SETDB2","SCC15","UPPER AERODIGESTIVE TRACT","4.8647","-0.6643"
"SETDB2","SCC25","UPPER AERODIGESTIVE TRACT","4.8977","-0.2049"
"SETDB2","SCC4","UPPER AERODIGESTIVE TRACT","4.636","0.0647"
"SETDB2","SCC9","UPPER AERODIGESTIVE TRACT","4.8638","-0.6577"
"SETDB2","SCLC21H","LUNG","5.0355","-0.8524"
"SETDB2","SEM","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.7564","-0.847"
"SETDB2","SET2","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.4009","0.1343"
"SETDB2","SF126","CENTRAL NERVOUS SYSTEM","4.2222","-5.161"
"SETDB2","SF295","CENTRAL NERVOUS SYSTEM","5.6018","0.1278"
"SETDB2","SH10TC","STOMACH","5.0089","-0.1926"
"SETDB2","SH4","SKIN","6.2422","-0.1496"
"SETDB2","SHP77","LUNG","4.9309","-0.2488"
"SETDB2","SHSY5Y","AUTONOMIC GANGLIA","5.7334","-0.0613"
"SETDB2","SIGM5","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.2287","0.1313"
"SETDB2","SIMA","AUTONOMIC GANGLIA","5.4018","0.03686"
"SETDB2","SJRH30","SOFT TISSUE","5.337","0.0136"
"SETDB2","SJSA1","BONE","5.3231","-0.2942"
"SETDB2","SKBR3","BREAST","5.3914","-0.1283"
"SETDB2","SKCO1","LARGE INTESTINE","5.7718","0.2833"
"SETDB2","SKES1","BONE","4.9249","-0.1592"
"SETDB2","SKHEP1","LIVER","5.2193","-0.1086"
"SETDB2","SKLMS1","SOFT TISSUE","5.5453","-0.6864"
"SETDB2","SKLU1","LUNG","4.9759","-0.1982"
"SETDB2","SKM1","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.0436","0.01074"
"SETDB2","SKMEL1","SKIN","6.892","-0.1263"
"SETDB2","SKMEL24","SKIN","5.1034","0.08664"
"SETDB2","SKMEL28","SKIN","6.5829","-0.2751"
"SETDB2","SKMEL2","SKIN","6.2528","-0.8573"
"SETDB2","SKMEL30","SKIN","6.984","-0.2097"
"SETDB2","SKMEL31","SKIN","5.6262","0.0611"
"SETDB2","SKMEL3","SKIN","8.1216","0.059"
"SETDB2","SKMEL5","SKIN","6.1636","0.0881"
"SETDB2","SKMES1","LUNG","5.1279","-0.3294"
"SETDB2","SKMM2","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.0423","-0.9286"
"SETDB2","SKNAS","AUTONOMIC GANGLIA","5.023","0.04"
"SETDB2","SKNDZ","AUTONOMIC GANGLIA","5.4937","-0.02913"
"SETDB2","SKNFI","AUTONOMIC GANGLIA","5.9253","0.495"
"SETDB2","SKNMC","BONE","4.7297","0.0574"
"SETDB2","SKNSH","AUTONOMIC GANGLIA","5.0983","-0.015"
"SETDB2","SKOV3","OVARY","5.1161","-0.0663"
"SETDB2","SKUT1","SOFT TISSUE","4.9103","-1.084"
"SETDB2","SNB19","CENTRAL NERVOUS SYSTEM","5.0426","-0.3456"
"SETDB2","SNGM","ENDOMETRIUM","5.8426","-0.0088"
"SETDB2","SNU1040","LARGE INTESTINE","5.2221","0.0055"
"SETDB2","SNU1076","UPPER AERODIGESTIVE TRACT","5.0611","-0.1176"
"SETDB2","SNU1077","ENDOMETRIUM","4.7775","-0.3456"
"SETDB2","SNU1079","BILIARY TRACT","4.7378","-0.3685"
"SETDB2","SNU1105","CENTRAL NERVOUS SYSTEM","5.078","-0.297"
"SETDB2","SNU1196","BILIARY TRACT","5.1182","-0.2464"
"SETDB2","SNU119","OVARY","5.3522","0.082"
"SETDB2","SNU1214","UPPER AERODIGESTIVE TRACT","5.2505","0.03597"
"SETDB2","SNU1272","KIDNEY","5.2341","0.1002"
"SETDB2","SNU16","STOMACH","5.6398","-0.07994"
"SETDB2","SNU175","LARGE INTESTINE","5.8852","-0.038"
"SETDB2","SNU182","LIVER","4.8005","-0.0696"
"SETDB2","SNU1","STOMACH","5.0537","-0.0032"
"SETDB2","SNU201","CENTRAL NERVOUS SYSTEM","4.8088","-0.6725"
"SETDB2","SNU213","PANCREAS","4.7578","-0.57"
"SETDB2","SNU216","STOMACH","5.3208","-0.1944"
"SETDB2","SNU245","BILIARY TRACT","5.6878","0.3792"
"SETDB2","SNU283","LARGE INTESTINE","5.8162","0.2287"
"SETDB2","SNU308","BILIARY TRACT","5.4725","0.354"
"SETDB2","SNU324","PANCREAS","5.6742","-4.123e-05"
"SETDB2","SNU387","LIVER","4.8896","-0.397"
"SETDB2","SNU398","LIVER","5.0689","-0.2834"
"SETDB2","SNU407","LARGE INTESTINE","6.9229","-0.0546"
"SETDB2","SNU410","PANCREAS","4.8778","-0.2783"
"SETDB2","SNU423","LIVER","5.3612","-0.1383"
"SETDB2","SNU449","LIVER","4.5742","-1.187"
"SETDB2","SNU466","CENTRAL NERVOUS SYSTEM","4.5365","-0.3311"
"SETDB2","SNU46","UPPER AERODIGESTIVE TRACT","5.3526","-0.4071"
"SETDB2","SNU475","LIVER","4.4759","-0.5898"
"SETDB2","SNU478","BILIARY TRACT","4.9122","-0.3968"
"SETDB2","SNU503","LARGE INTESTINE","5.22","0.1051"
"SETDB2","SNU520","STOMACH","6.0885","-0.1599"
"SETDB2","SNU5","STOMACH","5.733","0.1514"
"SETDB2","SNU61","LARGE INTESTINE","5.6364","0.2616"
"SETDB2","SNU620","STOMACH","5.8484","-0.09634"
"SETDB2","SNU626","CENTRAL NERVOUS SYSTEM","5.7016","0.643"
"SETDB2","SNU738","CENTRAL NERVOUS SYSTEM","4.8266","-0.5779"
"SETDB2","SNU761","LIVER","5.5699","-0.1527"
"SETDB2","SNU840","OVARY","4.8263","-0.0242"
"SETDB2","SNU878","LIVER","5.0116","-0.3679"
"SETDB2","SNU899","UPPER AERODIGESTIVE TRACT","5.5923","0.5238"
"SETDB2","SNUC1","LARGE INTESTINE","6.9272","0.9023"
"SETDB2","SNUC2A","LARGE INTESTINE","6.1672","0.037"
"SETDB2","SNUC4","LARGE INTESTINE","5.7807","-0.0063"
"SETDB2","SNUC5","LARGE INTESTINE","5.3671","0.0045"
"SETDB2","SQ1","LUNG","4.4198","-0.5074"
"SETDB2","SR786","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.9055","0.3046"
"SETDB2","ST486","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.2414","-2e-04"
"SETDB2","SU8686","PANCREAS","4.8575","0.0252"
"SETDB2","SUDHL10","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.0156","0.016"
"SETDB2","SUDHL1","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.4686","-0.1234"
"SETDB2","SUDHL4","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.0581","0.5001"
"SETDB2","SUDHL5","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.9115","0.0943"
"SETDB2","SUDHL6","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.1145","-0.0087"
"SETDB2","SUDHL8","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.5182","0.5486"
"SETDB2","SUIT2","PANCREAS","5.1845","-0.2787"
"SETDB2","SUPB15","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.2217","0.0197"
"SETDB2","SUPHD1","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.2275","-0.9989"
"SETDB2","SUPM2","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.4618","-0.1114"
"SETDB2","SUPT11","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.0793","-0.7119"
"SETDB2","SUPT1","HAEMATOPOIETIC AND LYMPHOID TISSUE","6.1096","0.0869"
"SETDB2","SW1088","CENTRAL NERVOUS SYSTEM","5.3042","-0.2888"
"SETDB2","SW1116","LARGE INTESTINE","6.8677","0.1737"
"SETDB2","SW1271","LUNG","5.1341","-0.03714"
"SETDB2","SW1353","BONE","5.2405","-0.0437"
"SETDB2","SW1417","LARGE INTESTINE","5.9681","-0.3218"
"SETDB2","SW1463","LARGE INTESTINE","6.3031","0.8853"
"SETDB2","SW1573","LUNG","5.6225","-0.1723"
"SETMAR","1321N1","CENTRAL NERVOUS SYSTEM","8.8977","0.2404"
"SETMAR","143B","BONE","8.7369","0.0545"
"SETMAR","22RV1","PROSTATE","8.9802","-0.0762"
"SETMAR","42MGBA","CENTRAL NERVOUS SYSTEM","8.073","0.0824"
"SETMAR","5637","URINARY TRACT","8.5958","-0.5478"
"SETMAR","639V","URINARY TRACT","9.4996","0.419"
"SETMAR","647V","URINARY TRACT","8.9308","0.3038"
"SETMAR","697","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.9817","-0.03625"
"SETMAR","769P","KIDNEY","7.54","-0.9134"
"SETMAR","786O","KIDNEY","8.4088","-0.2789"
"SETMAR","8305C","THYROID","7.9099","0.0104"
"SETMAR","8505C","THYROID","7.9666","0.3617"
"SETMAR","8MGBA","CENTRAL NERVOUS SYSTEM","8.3325","-0.02654"
"SETMAR","A101D","SKIN","8.0009","-0.2903"
"SETMAR","A172","CENTRAL NERVOUS SYSTEM","8.9246","0.2456"
"SETMAR","A204","SOFT TISSUE","8.9216","-0.0039"
"SETMAR","A253","SALIVARY GLAND","6.5855","-0.109"
"SETMAR","A2780","OVARY","8.4675","-0.004114"
"SETMAR","A375","SKIN","8.1179","0.1122"
"SETMAR","A498","KIDNEY","6.8745","-0.612"
"SETMAR","A549","LUNG","7.8522","0.1192"
"SETMAR","A673","BONE","9.2707","0.0247"
"SETMAR","A704","KIDNEY","6.6846","-0.9535"
"SETMAR","ABC1","LUNG","8.2312","-0.2416"
"SETMAR","ACCMESO1","PLEURA","7.8975","0.05916"
"SETMAR","ACHN","KIDNEY","7.6353","-0.1885"
"SETMAR","AGS","STOMACH","9.1257","-0.0354"
"SETMAR","ALEXANDERCELLS","LIVER","6.6705","-0.2803"
"SETMAR","AM38","CENTRAL NERVOUS SYSTEM","8.6783","-0.0346"
"SETMAR","AML193","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.3682","0.4261"
"SETMAR","AMO1","HAEMATOPOIETIC AND LYMPHOID TISSUE","7.9743","0.1308"
"SETMAR","AN3CA","ENDOMETRIUM","8.1192","-1.046"
"SETMAR","ASPC1","PANCREAS","5.7443","-0.2403"
"SETMAR","AU565","BREAST","8.152","-0.2635"
"SETMAR","AZ521","STOMACH","8.6051","0.0113"
"SETMAR","BC3C","URINARY TRACT","7.6617","-0.03279"
"SETMAR","BCP1","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.6789","0.0031"
"SETMAR","BCPAP","THYROID","6.7073","0.0077"
"SETMAR","BDCM","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.5992","0.0508"
"SETMAR","BECKER","CENTRAL NERVOUS SYSTEM","8.709","-0.3015"
"SETMAR","BEN","LUNG","6.7942","-0.888"
"SETMAR","BFTC905","URINARY TRACT","7.203","-0.3304"
"SETMAR","BFTC909","KIDNEY","6.867","0.0963"
"SETMAR","BHT101","THYROID","7.9386","0.0912"
"SETMAR","BHY","UPPER AERODIGESTIVE TRACT","5.1268","-0.3714"
"SETMAR","BICR16","UPPER AERODIGESTIVE TRACT","7.1575","-0.2332"
"SETMAR","BICR18","UPPER AERODIGESTIVE TRACT","7.059","-0.438"
"SETMAR","BICR22","UPPER AERODIGESTIVE TRACT","5.4932","-0.9624"
"SETMAR","BICR31","UPPER AERODIGESTIVE TRACT","6.1904","-0.9922"
"SETMAR","BICR56","UPPER AERODIGESTIVE TRACT","6.2048","-0.9514"
"SETMAR","BICR6","UPPER AERODIGESTIVE TRACT","7.4274","-0.4689"
"SETMAR","BL41","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.9287","-0.03603"
"SETMAR","BL70","HAEMATOPOIETIC AND LYMPHOID TISSUE","9.2366","-0.008496"
"SETMAR","BT20","BREAST","8.0654","0.2352"
"SETMAR","BT474","BREAST","9.2508","0.0677"
"SETMAR","BT483","BREAST","8.1946","-0.2533"
"SETMAR","BT549","BREAST","9.4635","0.6664"
"SETMAR","BV173","HAEMATOPOIETIC AND LYMPHOID TISSUE","5.471","-0.0238"
"SETMAR","BXPC3","PANCREAS","7.8724","0.0963"
"SETMAR","C2BBE1","LARGE INTESTINE","8.4992","0.0078"
"SETMAR","C32","SKIN","8.7336","2e-04"
"SETMAR","C3A","LIVER","8.8054","-0.174"
"SETMAR","CA46","HAEMATOPOIETIC AND LYMPHOID TISSUE","8.1595","-0.09767"
"SETMAR","CADOES1","BONE","8.3591","-0.07549"
"SETMAR","CAKI1","KIDNEY","7.5022","-0.5175"
"SETMAR","CAKI2","KIDNEY","7.1619","-0.316"
"SETMAR","CAL120","BREAST","7.8797","0.2811"
"SETMAR","CAL12T","LUNG","7.2699","-0.1652"
"SETMAR","CAL148","BREAST","9.6087","-0.0206"
"SETMAR","CAL27","UPPER AERODIGESTIVE TRACT","6.3242","-0.9837"
"SETMAR","CAL29","URINARY TRACT","8.0233","-0.6205"
"SETMAR","CAL51","BREAST","8.5975","-0.04183"
"SETMAR","CAL54","KIDNEY","7.8973","-0.2056"
"SETMAR","CAL62","THYROID","8.827","0.7742"
"SETMAR","CAL78","BONE","8.1484","-0.3001"
"SETMAR","CAL851","BREAST","8.1449","-0.2731"
"SETMAR","CALU1","LUNG","7.7344","0.4851"
"SETMAR","CALU3","LUNG","7.8853","-0.04252"
"SETMAR","CALU6","LUNG","8.1435","0.1619"
"SETMAR","CAMA1","BREAST","9.4203","0.2002"
"SETMAR","CAOV3","OVARY","7.8817","0.3675"
"SETMAR","CAOV4","OVARY","8.3202","-0.2364"
"SETMAR","CAPAN1","PANCREAS","7.096","0.1524"
"SETMAR","CAPAN2","PANCREAS","7.2432","-0.07071"
"SETMAR","CAS1","CENTRAL NERVOUS SYSTEM","8.3582","0.174"
"SETMAR","CCFSTTG1","CENTRAL NERVOUS SYSTEM","7.3184","-0.8277"
"SETMAR","CCK81","LARGE INTESTINE","9.0812","0.0801"
